video_id,datetime,title
BNAgDOZCydY,2024-04-25T14:00:13Z,How You Can Live Forever... Maybe. #shorts
S-gRXjKUnVs,2024-04-18T14:00:30Z,Let’s Go on a Fantastical Journey #shorts
L_JQOH1tEEA,2024-04-16T14:00:03Z,There Are Thousands of Alien Empires in The Milky Way
LFfFlYQfXh0,2024-04-11T14:00:23Z,Let&#39;s Cook a Galaxy #kurzgesagt #shorts
DRjmRNsPl1M,2024-04-04T14:00:09Z,ONE Gene Determines How Many Fingers You Have #kurzgesagt #shorts
pjoQdz0nxf4,2024-03-26T14:59:10Z,How The Dinosaurs Actually Died
cUD8Nt0JDlw,2024-03-21T15:00:27Z,YOU Own the Moon. And Mars. And Venus. #kurzgesagt #shorts
8ILQMRr1-8M,2024-03-14T15:00:10Z,AI Can Literally Lend You a Hand #kurzgesagt #shorts
i981tDgvhPg,2024-03-07T15:00:38Z,Will Europe Freeze over When the Gulf Stream Stops? #kurzgesagt #shorts
Oj_OwYR9jGQ,2024-02-29T15:00:31Z,What Does the Moon Smell Like? #kurzgesagt #shorts
isdLel273rQ,2024-02-27T15:00:02Z,The Paradox of an Infinite Universe
LrIRuqr_Ozg,2024-02-20T15:00:02Z,What Happens AFTER Nuclear War?
Pj20omaP7WI,2024-02-15T15:00:16Z,Something in Your Kitchen Emits Antimatter #kurzgesagt #shorts
W1Qyv6EI2hE,2024-02-08T15:00:34Z,Can You Escape a Black Hole? #kurzgesagt #shorts
wwSzpaTHyS8,2024-01-30T15:00:03Z,Did The Future Already Happen? - The Paradox of Time
ld4K5nw9gsk,2024-01-25T15:00:41Z,What If Our Sun Disappeared? #kurzgesagt #shorts
8_cAY_rQpzM,2024-01-18T15:00:10Z,Map Projections – Why Do We Have Different Maps of the Earth? #kurzgesagt #shorts
6AWYgNArZZw,2024-01-11T15:00:09Z,Let’s Shrink Earth to Half Its Size #kurzgesagt #shorts
Chh2lgGe2YE,2024-01-04T15:00:16Z,You Swallowed a Tapeworm – What Now? #kurzgesagt #shorts
qP65siuTLFc,2023-12-28T15:00:39Z,Cooking a Chicken in a Particle Accelerator #kurzgesagt #shorts
Z_1Q0XB4X0Y,2023-12-17T15:00:53Z,You Are The Center of The Universe (Literally)
nGggU-Cxhv0,2023-12-12T15:00:01Z,Your Tattoo is INSIDE Your Immune System. Literally
HR2C_7G_yRQ,2023-12-08T15:00:01Z,How To Destroy The Universe
yDMZJ7LgrGY,2023-12-05T16:30:09Z,The Moment Kurzgesagt Changed Forever
fuFlMtZmvY0,2023-11-29T15:00:43Z,The Internet is Worse Than Ever – Now What?
FgnjdW-x7mQ,2023-11-21T15:00:01Z,The Last Thing To Ever Happen In The Universe
tybKnGZRwcU,2023-11-15T15:00:01Z,How to Win an Interstellar War
S7TUe5w6RHo,2023-11-10T16:15:06Z,4.5 Billion Years in 1 Hour
JOiGEI9pQBs,2023-10-10T14:00:02Z,Ancient Life as Old as the Universe
LBudghsdByQ,2023-10-04T14:00:02Z,Why Humans Are Vanishing
BxXzzAEEhCA,2023-09-21T14:00:08Z,Would You Choose Life On Earth Or in Space? #kurzgesagt #shorts
wmP3MBjsx20,2023-08-22T14:00:08Z,How A Nuclear War Will Start - Minute by Minute
Kr57ax0OWMk,2023-08-08T13:59:49Z,The (Second) Deadliest Virus
28T91fgkpkA,2023-07-27T14:03:48Z,How Many Moons Could Earth Handle? #kurzgesagt #shorts
4TlyzKBm5yw,2023-07-20T14:00:03Z,What If You’re in Space without a Spacesuit? #kurzgesagt #shorts
kblSnj0p6bE,2023-07-13T14:00:34Z,What Happens if Earth Suddenly Stops Rotating? #kurzgesagt #shorts
FPKRFw2jrnU,2023-07-06T14:00:12Z,Earth&#39;s Hidden Gem: The Astonishing Diversity of Fauna and Flora #shorts #kurzgesagt
9FppammO1zk,2023-07-02T13:00:42Z,The Most Dangerous Weapon Is Not Nuclear
8Ey3_9N089k,2023-07-02T13:00:05Z,The Next Atomic Bomb Is Made of DNA #kurzgesagt #shorts
_arb8Fu3LXo,2023-06-29T14:00:31Z,Are Your Friends More Popular than You? #shorts #kurzgesagt
XFM4tCakAXY,2023-06-22T14:00:21Z,Let&#39;s Make Earth Twice as Large! #shorts #kurzgesagt
uoJwt9l-XhQ,2023-06-18T13:00:41Z,The Reason Why Cancer is so Hard to Beat
BNvL_uZhTsY,2023-06-15T14:06:52Z,Why Does Humanity Exist NOW? #shorts #kurzgesagt
V4Z8EdiJxgk,2023-06-11T12:59:39Z,The Black Hole That Kills Galaxies - Quasars
RzwaiFvyN6s,2023-06-08T14:00:16Z,How do Lasers Work? #shorts #kurzgesagt
LNv4y3wPQA0,2023-06-01T14:00:11Z,Earth as a Cube – What Would It Look Like? #shorts #kurzgesagt
hvmIZAvt3jE,2023-05-25T14:00:28Z,How to Cut a Sandwich Perfectly – With Science #shorts #kurzgesagt
IayvE_jFgrc,2023-05-18T14:00:20Z,Magnetic Pole Shift - A Doomsday Scenario? #shorts #kurzgesagt
o2afhMs0aUg,2023-05-14T14:00:26Z,Tardigrades Have Superpowers #shorts #kurzgesagt
UKOxj8oP59w,2023-05-11T14:00:15Z,How Tiny Can a Black Hole Be? #shorts #kurzgesagt
zFhYJRqz_xk,2023-05-09T14:00:42Z,Your Body Killed Cancer 5 Minutes Ago
pb9g6osg2aY,2023-05-04T16:27:19Z,Why Is the Ocean Salty and Rivers Are Not? #shorts #kurzgesagt
GDSf2h9_39I,2023-04-11T14:00:45Z,Why Aliens Might Already Be On Their Way To Us
1x-i9z617z4,2023-03-28T14:00:05Z,How We Make Money on YouTube with 20M Subs
M-K7mxdN62M,2023-02-28T14:59:23Z,What Actually Happens When You Are Sick?
TYPFenJQciw,2023-02-14T14:59:37Z,The Most Complex Language in the World
aeWyp2vXxqA,2022-12-15T15:00:12Z,Black Hole Star – The Star That Shouldn&#39;t Exist
HpcTJW4ur54,2022-12-11T15:00:09Z,How to Terraform Mars - WITH LASERS
Qsbe1pD8ocE,2022-12-06T15:52:00Z,The Horror of the Slaver Ant
q4DF3j4saCE,2022-11-23T15:00:13Z,The Most Extreme Explosion in the Universe
Us2Z-WC9rao,2022-11-08T14:59:18Z,Why Don&#39;t We Shoot Nuclear Waste Into Space?
fXb02MQ78yQ,2022-10-18T13:59:41Z,The Biggest Eruptions That Changed Earth Forever
FfWtIaDtfYk,2022-10-04T14:00:33Z,Let’s Travel to The Most Extreme Place in The Universe
I9hJ_Rux9y0,2022-09-06T13:59:36Z,The Reason You&#39;re Alone
W93XyXHI8Nw,2022-08-16T13:59:34Z,Is Civilization on the Brink of Collapse?
4u5I8GYB79Y,2022-07-26T13:58:55Z,The Deadliest Virus on Earth
LEENEFaVUzU,2022-06-28T14:00:23Z,The Last Human – A Glimpse Into The Far Future
75d_29QWELk,2022-06-07T14:00:05Z,Change Your Life – One Tiny Step at a Time
Pj-h6MEgE7I,2022-05-17T13:59:44Z,You Are Not Where You Think You Are
7OPg-ksxZ4Y,2022-05-03T13:59:29Z,The Most Horrible Parasite: Brain Eating Amoeba
LxgMdjyw8uw,2022-04-05T13:59:18Z,We WILL Fix Climate Change!
KRvv0QdruMQ,2022-03-01T14:59:23Z,Are There Lost Alien Civilizations in Our Past?
lheapd7bgLA,2022-02-08T14:59:49Z,What Happens if the Moon Crashes into Earth?
xAUJYP8tnRE,2021-12-14T15:00:03Z,Why We Should NOT Look For Aliens - The Dark Forest
XFqn3uy238E,2021-12-07T14:59:44Z,...And We&#39;ll Do it Again
F1Hq8eVOMHs,2021-11-30T15:01:34Z,Is Meat Really that Bad?
LmpuerlbJu0,2021-11-02T14:59:43Z,You Are Immune Against Every Disease
xaQJbozY_Is,2021-10-12T14:00:09Z,What Dinosaurs ACTUALLY Looked Like?
0FRVx_c9T0c,2021-09-28T14:01:17Z,Two Chapters From Our New Book – Exclusive Preview!
yiw6_JakZFc,2021-09-22T13:59:24Z,Can YOU Fix Climate Change?
1-NxodiGPCU,2021-08-31T13:59:40Z,This Virus Shouldn&#39;t Exist (But it Does)
lXfEK8G8CUI,2021-08-10T13:59:41Z,How The Immune System ACTUALLY Works – IMMUNE
0FH9cgRhQ-k,2021-08-03T13:59:22Z,The Largest Black Hole in the Universe - Size Comparison
G-WO-z-QuWI,2021-07-06T14:00:16Z,How To Terraform Venus (Quickly)
dFCbJmgeHmA,2021-06-15T14:09:03Z,The Day the Dinosaurs Died – Minute by Minute
JXeJANDKwDc,2021-05-25T13:59:34Z,When This Number Hits 5200 - You Will be Dead
uzkD5SeuwzM,2021-05-11T14:00:16Z,TRUE Limits Of Humanity – The Final Border We Will Never Cross
QqsLTNkzvaY,2021-04-27T13:59:20Z,What If You Fall into a Black Hole?
EhAemz1v7dQ,2021-04-13T14:00:11Z,Do we Need Nuclear Energy to Stop Climate Change?
VB_GWz25B3Q,2021-03-09T14:59:36Z,What if the World turned to Gold? - The Gold Apocalypse
Jzfpyo-q-RM,2021-02-02T15:02:01Z,Worst Nuclear Accidents in History
qEfPBt9dU60,2020-12-15T14:59:51Z,What if We Nuke the Moon?
4b33NTAuF5E,2020-12-10T14:54:18Z,Can You Upload Your Mind &amp; Live Forever?
gLZJlf5rHVs,2020-12-01T15:00:41Z,What If Earth got Kicked Out of the Solar System? Rogue Earth
E1KkQrFEl2I,2020-11-10T15:00:26Z,How Large Can a Bacteria get? Life &amp; Size 3
dSu5sXmsur4,2020-10-27T15:00:02Z,Geoengineering: A Horrible Idea We Might Have to Do
CWu29PRCUvQ,2020-10-06T14:00:12Z,When Time Became History - The Human Era
wbR-5mHI6bo,2020-09-29T14:00:26Z,"Is It Too Late To Stop Climate Change? Well, it&#39;s Complicated."
3mnSDifDSxQ,2020-09-22T15:17:30Z,The Largest Star in the Universe – Size Comparison
B3QTAgHlwEg,2020-08-30T12:29:48Z,These Ants Use Their Babies As Glue Guns
y8XvQNt26KI,2020-08-16T12:29:23Z,Unlimited Resources From Space – Asteroid Mining
rhFK5_Nx9xY,2020-08-02T12:29:49Z,What Do Alien Civilizations Look Like? The Kardashev Scale
ck4RGeoHFko,2020-07-12T12:30:23Z,What Is Intelligence? Where Does it Begin?
ipVxxxqwBQw,2020-06-21T12:29:44Z,Who Is Responsible For Climate Change? – Who Needs To Fix It?
oHHSSJDJ4oo,2020-06-07T12:31:34Z,Could Solar Storms Destroy Civilization? Solar Flares &amp; Coronal Mass Ejections
YbgnlkJPga4,2020-05-24T12:29:32Z,The Past We Can Never Return To – The Anthropocene Reviewed
QImCld9YubE,2020-05-10T12:30:08Z,"Why Are You Alive – Life, Energy &amp; ATP"
BtN-goy9VOY,2020-03-19T15:37:18Z,The Coronavirus Explained &amp; What You Should Do
1AElONvi9WQ,2020-03-01T13:30:00Z,Why Blue Whales Don&#39;t Get Cancer - Peto&#39;s Paradox
uFk0mgljtns,2020-02-16T13:29:44Z,How to Make a Kurzgesagt Video in 1200 Hours
oakWgLqCwUc,2020-01-26T13:30:02Z,Milk. White Poison or Healthy Drink?
v3y8AIEX_dU,2019-12-22T13:30:06Z,How to Move the Sun: Stellar Engines
NMo3nZHVrZ4,2019-12-15T13:30:10Z,Overpopulation &amp; Africa
WPPPFqsECz0,2019-12-08T13:30:01Z,An Antidote to Dissatisfaction
dqwpQarrDwk,2019-11-17T13:30:03Z,"1,000km Cable to the Stars - The Skyhook"
udFxKZRyQt4,2019-11-10T13:30:02Z,Neutron Stars – The Most Extreme Things that are not Black Holes
5iPH-br_eJQ,2019-10-13T12:30:00Z,What if We Nuke a City?
cqECNYmM23A,2019-09-29T12:30:01Z,The Billion Ant Mega Colony and the Biggest War on Earth
PaErPyEnDvk,2019-09-15T12:30:01Z,What’s Hiding at the Most Solitary Place on Earth? The Deep Sea
h6fcK_fRYaI,2019-09-01T12:30:02Z,The Egg - A Short Story
PaErPyEnDvk,2019-09-15T12:30:01Z,What’s Hiding at the Most Solitary Place on Earth? The Deep Sea
h6fcK_fRYaI,2019-09-01T12:30:02Z,The Egg - A Short Story
7_e0CA_nhaE,2019-08-11T12:30:00Z,The World War of the Ants – The Army Ant
BSypUV6QUNw,2019-07-28T12:30:54Z,Tiny Bombs in your Blood - The Complement System
FfgT6zx4k3Q,2019-07-07T12:31:14Z,Could Your Phone Hurt You? Electromagnetic Pollution
ouAccsTzlGU,2019-06-09T12:28:46Z,Is Meat Bad for You? Is Meat Unhealthy?
h4Uu5eyN6VU,2019-05-19T12:30:02Z,Is the EU Democratic? Does Your Vote Matter?
zBkVCpbNnkU,2019-05-12T12:30:04Z,The Side Effects of Vaccines - How High is the Risk?
p_8yK2kmxoo,2019-04-14T12:30:02Z,The Most Dangerous Stuff in the Universe - Strange Stars Explained
JyECrGp-Sw8,2019-03-31T12:30:00Z,What If We Detonated All Nuclear Bombs at Once?
H6u0VBqNBQ8,2019-03-17T13:30:12Z,The Origin of Consciousness – How Unaware Things Became Aware
JtUAAXe_0VI,2019-03-03T13:30:28Z,Can You Trust Kurzgesagt Videos?
n3Xv_g3g-mA,2019-02-17T13:29:53Z,Loneliness
uqKGREZs6-w,2019-02-03T13:29:29Z,Building a Marsbase is a Horrible Idea: Let’s do it!
8PmM6SUn7Es,2019-01-13T13:30:01Z,Is Organic Really Better? Healthy Food or Trendy Scam?
M7CkdB5z9PY,2018-12-27T13:30:00Z,Aliens under the Ice – Life on Rogue Planets
pP44EPBMb8A,2018-12-20T13:30:22Z,How to Build a Dyson Sphere - The Ultimate Megastructure
yS1ibDImAYU,2018-11-25T13:30:02Z,End of Space – Creating a Prison for Humanity
-O5kNPlUV7w,2018-10-23T12:30:00Z,Why Beautiful Things Make us Happy – Beauty Explained
NxvQPzrg2Wg,2018-09-30T13:03:53Z,Why Meat is the Best Worst Thing in the World 🍔
NtQkz0aRDe8,2018-09-16T12:27:14Z,How We Could Build a Moon Base TODAY – Space Colonization 1
9P6rdqiybaw,2018-08-12T12:29:47Z,Wormholes Explained – Breaking Spacetime
9tbxDgcv74c,2018-07-22T12:30:03Z,What If You Detonated a Nuclear Bomb In The Marianas Trench? (Science not Fantasy)
RS7IzU2VJIQ,2018-07-01T13:03:14Z,Plastic Pollution: How Humans are Turning the World into Plastic
kP15q815Saw,2018-06-10T12:30:12Z,3 Arguments Why Marijuana Should Stay Illegal Reviewed
YI3tsmFsrOg,2018-05-13T12:00:22Z,The Deadliest Being on Planet Earth – The Bacteriophage
ulCdoCfw-bY,2018-04-22T12:02:17Z,The Black Hole Bomb and Black Hole Civilizations
5TbUxGZtwGI,2018-04-08T12:26:40Z,Time: The History &amp; Future of Everything – Remastered
rvskMHn0sqQ,2018-03-18T13:10:34Z,A Selfish Argument for Making the World a Better Place – Egoistic Altruism
Da-2h2B4faU,2018-03-01T13:30:51Z,String Theory Explained – What is The True Nature of Reality?
8HslUzw35mc,2018-02-22T14:14:37Z,Homeopathy Explained – Gentle Healing or Reckless Fraud?
UjtOGPJ0URM,2018-02-01T13:00:05Z,Why Alien Life Would be our Doom - The Great Filter
MUWUHf-rzks,2017-12-21T13:38:50Z,How to Make an Elephant Explode – The Size of Life 2
kl39KHS07Xc,2017-12-07T14:08:08Z,Universal Basic Income Explained – Free Money for Everybody? UBI
16W7c0mb-rE,2017-11-16T15:01:58Z,Emergence – How Stupid Things Become Smart Together
MjdpR-TY6QU,2017-11-03T13:33:42Z,How to Cure Aging – During Your Lifetime?
GoJsr4IwCm4,2017-10-20T13:01:59Z,Why Age? Should We End Aging Forever?
VzPD009qTN4,2017-10-05T12:39:18Z,How Bacteria Rule Over Your Body – The Microbiome
tlTKTTt47WE,2017-09-21T12:33:24Z,Is Reality Real? The Simulation Argument
J0ldO87Pprc,2017-09-07T12:30:00Z,What Happens If We Bring the Sun to Earth?
yWO-cvGETRQ,2017-08-24T12:44:22Z,Why Black Holes Could Delete The Universe – The Information Paradox
f7KSfjv4Oq0,2017-08-10T12:07:40Z,What Happens If We Throw an Elephant From a Skyscraper? Life &amp; Size 1
MBRqu0YOH14,2017-07-26T12:16:28Z,Optimistic Nihilism
WSKi8HfcxEk,2017-06-08T16:28:31Z,The Rise of the Machines – Why Automation is Different this Time
qsN1LglrX9s,2017-05-04T12:17:32Z,The Last Light Before Eternal Darkness – White Dwarfs &amp; Black Dwarfs
XxutY7ss1v4,2017-04-13T12:01:11Z,Is the European Union Worth It Or Should We End It?
7TmcXYp8xu4,2017-03-30T14:00:42Z,Are GMOs Good or Bad? Genetic Engineering &amp; Our Food
DHyUYg8X31c,2017-02-23T13:31:05Z,Do Robots Deserve Rights? What if Machines Become Conscious?
RVMZxH1TIIQ,2017-02-01T13:22:31Z,Why Earth Is A Prison and How To Escape It
QsBT5EQt348,2016-12-22T13:38:26Z,Overpopulation – The Human Explosion Explained
mZsaaturR6E,2016-11-10T17:26:44Z,Fusion Power Explained – Future or Failure
ijFm6DxNVyI,2016-10-21T12:56:37Z,The Most Efficient Way to Destroy the Universe – False Vacuum
TnzcwTyr6cE,2016-09-21T12:36:46Z,Genetic Engineering and Diseases – Gene Drive &amp; Malaria
jAhjPd4uNFY,2016-08-10T12:01:38Z,Genetic Engineering Will Change Everything Forever – CRISPR
RLykC1VN7NY,2016-07-31T12:00:40Z,Death From Space — Gamma-Ray Bursts Explained
dGiQaabX3_o,2016-06-23T12:04:23Z,What Happened Before History? Human Origins
JQVmkDUkZT4,2016-05-31T13:24:38Z,What Are You?
ZL4yYHdDSWs,2016-05-12T14:28:36Z,How Far Can We Go? Limits of Humanity (Old Version – Watch the New One)
V9_PjdU3Mpo,2016-04-14T19:51:08Z,Safe and Sorry – Terrorism &amp; Mass Surveillance
qPQQwqGWktE,2016-04-08T16:40:30Z,Space Elevator – Science Fiction or the Future of Mankind?
xZbcwi7SfZE,2016-03-16T17:13:52Z,The Antibiotic Apocalypse Explained
wJUXLqNHCaI,2016-03-01T17:22:49Z,Why The War on Drugs Is a Huge Failure
LS-VPyLaJFM,2016-01-31T11:45:37Z,The Last Star in the Universe – Red Dwarfs Explained
X9otDixAtFw,2015-12-23T13:21:57Z,What Is Something?
e-P5IFTqB98,2015-12-15T16:33:55Z,Black Holes Explained – From Birth to Death
JhHMJCUmq28,2015-12-08T15:32:12Z,Quantum Computers Explained – Limits of Human Technology
t7tA3NNKF0Q,2015-11-10T16:54:39Z,How Facebook is Stealing Billions of Views
IXxZRZxafEQ,2015-10-15T13:15:46Z,What Is Light?
QAa2O_8wBUQ,2015-08-06T12:49:29Z,What is Dark Matter and Dark Energy?
8nHBGFKLHZQ,2015-07-16T13:21:45Z,What if there was a black hole in your pocket?
GqA42M4RtxE,2015-07-09T12:56:13Z,"The Death Of Bees Explained – Parasites, Poison and Humans"
1fQkVqno-uI,2015-06-04T12:42:46Z,The Fermi Paradox II — Solutions and Ideas – Where Are All The Aliens?
sNhhvQGsMEc,2015-05-06T12:55:55Z,The Fermi Paradox — Where Are All The Aliens? (1/2)
pVbLlnmxIbY,2015-04-01T12:19:49Z,3 Reasons Why Nuclear Energy Is Awesome! 3/3
HEYbgyL5n1g,2015-04-01T12:19:54Z,3 Reasons Why Nuclear Energy Is Terrible! 2/3
rcOFV4y5z8c,2015-03-26T13:24:03Z,Nuclear Energy Explained: How does it work? 1/3
fTTGALaRZoc,2015-03-12T13:28:00Z,Banking Explained – Money and Credit
y0opgc1WoS4,2015-02-24T15:09:20Z,Measles Explained — Vaccinate or Not?
_lNF3_30lUE,2015-01-20T15:33:09Z,How Small Is An Atom? Spoiler: Very Small.
Hug0rfFC_L8,2014-12-18T14:02:27Z,The Ultimate Conspiracy Debunker
QOCaacO8wus,2014-12-11T14:40:48Z,What Is Life? Is Death Real?
sRv19gkZ4E0,2014-11-06T13:54:12Z,The Ebola Virus Explained — How Your Body Fights For Survival
NbuUW9i-mHs,2014-10-09T13:11:55Z,Is War Over? — A Paradox Explained
ZW3aV7U-aik,2014-09-03T14:03:58Z,Atoms As Big As Mountains — Neutron Stars Explained
JGXi_9A__Vc,2014-08-04T12:56:42Z,Everything You Need to Know About Planet Earth
zQGOcOUBi6s,2014-07-01T16:06:05Z,The Immune System Explained I – Bacteria Infection
AQPlREDW-Ro,2014-06-19T15:09:17Z,"Iraq Explained -- ISIS, Syria and War"
PKMQzkIiB0Y,2014-06-02T12:30:01Z,Are You Alone? (In The Universe)
cR9uphgMZ8U,2014-05-26T13:00:08Z,How to catch a Dwarf Planet -- Triton MM#3
Tqt9hZcWhJM,2014-05-05T10:59:23Z,How Big is the Moon? MM#1
21eFwbb48sE,2014-04-10T12:00:04Z,Who Invented the Internet? And Why?
wNDGgL73ihY,2014-03-03T15:01:45Z,The Beginning of Everything -- The Big Bang
4_aOIA-vyBo,2014-02-03T16:35:03Z,Three Ways to Destroy the Universe
2XkV6IpV2Y0,2013-12-19T16:21:33Z,The History and Future of Everything -- Time
F3QpgXBtDeo,2013-11-28T17:03:32Z,How The Stock Exchange Works (For Dummies)
UuGrBhK2c7U,2013-10-11T19:11:39Z,The Gulf Stream Explained
Uti2niW2BRA,2013-09-03T09:12:24Z,Fracking explained: opportunity or danger
KsF_hdjWJjo,2013-08-22T13:24:56Z,The Solar System -- our home in space
hOfRN0KihOU,2013-07-11T14:09:52Z,How Evolution works
